,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
10,-371.84583,104.75442,-11.362647,-25.490698,10.951245,34.004803,4.456132,0.9147449,-17.886856,1.7840531,-0.09478556,3.8929696,-24.031498,8.987581,-1.8008684,1.2334096,1.4593886,-2.2063582,-4.8871083,3.9779208,0.61190444,-1.6635501,-10.143555,-5.3832607,6.280759,2.5858305,-2.1351597,-7.7680902,-1.9287239,1.9523845,4.5598245,-2.215467,-0.82802254,-8.539318,3.0442932,1.3352649,1.095004,-6.4406767,-0.3764541,0.22926539
11,-614.2413,87.32616,39.326817,23.921066,30.459736,14.807695,9.163648,7.679218,11.793044,2.814676,0.0956706,-2.610017,-1.7412653,0.36168328,4.6247168,2.523528,-3.1193717,-3.192123,-2.2526674,-5.339334,-7.9816923,-2.098803,0.6727081,-4.640849,-9.934313,-5.702082,-2.9205146,-4.247836,-4.5538707,-0.91424215,-1.48423,-2.2985246,-0.97771335,1.5637496,1.4134188,3.040878,3.2432888,0.89592963,-1.7548906,0.6442881
12,-570.4687,120.307655,25.759596,15.564006,36.200256,15.721528,-1.8711357,5.065919,12.495377,2.3718822,-1.7383695,-1.6732681,-4.6179996,-2.5351424,4.164483,2.5975883,-5.6525,-4.6667576,-2.8414626,-6.348963,-9.563696,-1.4715717,1.776776,-5.7416806,-12.879331,-6.276639,-2.6573625,-4.673584,-4.562873,0.7446686,-1.1472657,-2.8954012,-0.69450104,3.177526,1.849168,2.9009638,2.8535604,-0.2386163,-2.9620893,1.5973694
13,-469.80606,133.68593,3.4652917,5.1566043,38.736984,17.43415,2.6620705,11.34098,3.2920625,-8.799047,-4.7577076,-3.0921352,-8.294845,-5.9231777,-2.8372514,-9.228243,-15.27901,-15.456326,-12.647458,-5.864962,-3.4287324,-9.985278,-9.329426,-1.035763,-2.1920881,-5.472818,-2.3093638,-5.229,-9.305161,-3.4725657,-2.6202655,-9.204512,-5.50364,1.2757674,-2.8592036,-5.02878,2.9301817,6.3775682,-1.2158123,-6.8750215
14,-417.27176,53.040813,-23.303385,-42.395157,-20.214058,4.1681943,17.601309,15.858041,5.449459,-5.689393,-12.555011,-8.641246,0.5284287,4.0620303,3.8616633,4.3730335,2.8900504,-0.20916507,1.2946438,5.984696,4.943435,-0.6280191,-2.0958183,1.5544276,5.6931963,5.7016873,1.6280364,-0.77527326,-0.47590232,-0.5094389,-0.35225263,0.30906966,1.4750102,2.271129,-0.7032005,-4.1946464,-2.6154237,0.50827944,1.4041852,0.94841796
15,-532.7223,149.33005,20.10359,14.689592,35.805992,20.523535,1.941622,-3.5658355,1.7039956,-11.83427,-21.953064,-11.865649,-6.404081,-5.369824,8.343267,0.24450773,-14.691671,-2.9230943,4.1945186,-14.641506,-12.357047,2.810351,-2.3785565,-10.930625,-5.7116485,-5.5454803,-9.613014,-10.157367,-7.1379027,-6.480504,-10.61913,-11.089508,-3.751072,-6.8603263,-14.272999,-7.411858,-2.4225621,-7.640365,-6.7820535,-3.5911124
16,-562.72504,84.157,-16.755182,-36.639812,-4.7820206,13.412929,13.49198,10.86007,-1.9593469,-22.006706,-27.233608,-12.693894,3.9204602,9.338906,6.1128707,0.76492,-3.209888,-2.757294,2.9501216,7.910723,6.9191647,2.386039,-2.4653952,-4.6344953,-1.3292797,3.1037893,3.0014482,-0.50022244,-4.1282806,-5.754753,-3.8203645,-0.8746492,-0.7728793,-3.0730221,-4.609716,-4.5231047,-4.120275,-2.679054,-1.2069267,-0.9929339
17,-464.54102,143.59032,37.776623,35.94138,19.917345,36.08386,-10.377277,36.00027,15.783614,-23.321934,-3.6577451,-5.862383,-3.3292751,-9.752069,-1.4929997,-1.7603257,0.607645,1.1227349,-1.1579309,-1.641987,2.1083992,4.972823,-4.11419,1.6992556,1.0369648,-2.9595308,2.9580848,-0.93543804,-3.2351682,0.92573637,-4.726663,-2.58009,-8.042055,-2.3859103,-0.55155784,-4.0054727,-2.5725796,1.5792882,-2.3758602,-5.6287136
18,-432.73996,101.65625,23.044819,5.862303,33.555656,59.685753,43.3215,13.933281,-1.0497112,2.1350107,17.746006,20.936323,8.201932,-4.2743464,-4.8761,4.6022854,10.533683,6.4292088,0.43220034,-3.1787908,-3.1865723,2.1952055,7.674535,6.5077486,-1.9413781,-5.8591146,-0.56568086,5.129791,5.7036085,1.3912225,-2.542982,-3.6753502,-0.27861834,3.3305404,1.7348295,-1.4396534,-2.2851624,-0.6598102,-0.3455753,0.06103814
19,-353.80133,154.72235,-13.477602,0.17530088,0.8001182,4.373456,-23.650984,19.8371,-13.4512415,-4.5604224,15.642108,-3.8007507,-14.775358,-15.606345,-1.6057816,-6.808525,4.149575,-16.921715,-11.803634,-0.2187031,-15.1859665,-0.4401942,-4.807203,3.5350037,-4.121719,3.0090213,9.299518,4.360772,3.0673392,2.7609866,8.420581,3.3368185,4.3826175,7.50556,2.5280082,-2.2019756,0.30794293,-3.2562082,-0.918981,-1.8067671
